Date,Open,High,Low,Close,Volume
2022-11-28,5207.6401,5255.0400,5199.4502,5207.6401,0
2022-11-29,5244.8599,5247.6401,5199.6602,5244.8599,0
2022-11-30,5282.6099,5282.6099,5212.8701,5282.6099,0
2022-12-01,5274.6802,5288.3599,5249.5801,5274.6802,0
2022-12-02,5290.7598,5308.7100,5233.0601,5290.7598,0
2022-12-05,5274.1899,5300.3101,5267.3599,5274.1899,0
2022-12-06,5239.1602,5290.6099,5214.3799,5239.1602,0
2022-12-07,5202.8501,5247.4702,5195.1699,5202.8501,0
2022-12-09,5192.6802,5213.8501,5158.2798,5192.6802,0
2022-12-12,5257.0698,5260.0298,5183.7900,5257.0698,0
2022-12-13,5226.7598,5289.8799,5226.7598,5226.7598,0
2022-12-14,5206.4600,5228.6001,5190.8901,5206.4600,0
2022-12-15,5132.7700,5206.4600,5122.8901,5132.7700,0
2022-12-16,5161.2500,5161.2500,5110.7900,5161.2500,0
2022-12-19,5206.9502,5206.9502,5155.4502,5206.9502,0
2022-12-20,5287.9302,5312.1602,5188.0898,5287.9302,0
2022-12-21,5269.7002,5326.2100,5257.3198,5269.7002,0
2022-12-22,5222.2300,5274.1602,5200.3999,5222.2300,0
2022-12-23,5256.9102,5262.9600,5222.2300,5256.9102,0
2022-12-26,5222.4399,5266.2900,5211.8198,5222.4399,0
2022-12-27,5197.2500,5241.2402,5195.1602,5197.2500,0
2022-12-28,5215.4199,5226.2700,5175.0898,5215.4199,0
2022-12-29,5249.3701,5249.3701,5214.8198,5249.3701,0
2022-12-30,5261.9102,5262.7202,5222.6499,5261.9102,0
2023-01-03,5136.5298,5266.1802,5132.9199,5136.5298,0
2023-01-04,5091.4702,5144.4800,5073.2500,5091.4702,0
2023-01-05,5124.2002,5124.2002,5073.0698,5124.2002,0
2023-01-06,5136.6899,5138.9702,5104.4302,5136.6899,0
2023-01-09,5159.9102,5169.3198,5128.9902,5159.9102,0
2023-01-10,5144.3701,5163.5098,5105.4102,5144.3701,0
2023-01-11,5180.4302,5203.1201,5131.7700,5180.4302,0
2023-01-12,5201.8301,5216.8301,5165.1899,5201.8301,0
2023-01-13,5156.6499,5206.0298,5146.7300,5156.6499,0
2023-01-16,5156.1099,5163.6401,5121.5298,5156.1099,0
2023-01-17,5176.1001,5178.1401,5148.6802,5176.1001,0
2023-01-18,5229.5498,5230.4600,5156.2900,5229.5498,0
2023-01-19,5207.8301,5229.5498,5180.9399,5207.8301,0
2023-01-20,5235.9702,5259.4502,5207.8301,5235.9702,0
2023-01-23,5311.8398,5326.5601,5235.9702,5311.8398,0
2023-01-24,5256.6299,5315.0898,5256.5298,5256.6299,0
2023-01-25,5259.2798,5264.9502,5243.9702,5259.2798,0
2023-01-26,5333.6899,5334.0298,5258.5898,5333.6899,0
2023-01-27,5351.3398,5357.7300,5329.2700,5351.3398,0
2023-01-30,5337.9502,5368.5200,5322.7100,5337.9502,0
2023-01-31,5322.3901,5345.9199,5316.6201,5322.3901,0
2023-02-01,5308.1699,5343.6401,5302.1699,5308.1699,0
2023-02-02,5313.5200,5339.5298,5303.1602,5313.5200,0
2023-02-03,5314.2900,5340.6802,5282.5200,5314.2900,0
2023-02-06,5285.6201,5327.4199,5279.2500,5285.6201,0
2023-02-07,5271.2700,5300.0698,5265.4702,5271.2700,0
2023-02-08,5328.8301,5328.8301,5271.2700,5328.8301,0
2023-02-09,5356.9199,5374.6001,5328.8301,5356.9199,0
2023-02-10,5392.4502,5392.4502,5338.2402,5392.4502,0
2023-02-13,5366.1802,5405.8301,5353.0898,5366.1802,0
2023-02-14,5332.4302,5382.6802,5332.4302,5332.4302,0
2023-02-15,5404.2998,5404.9199,5329.0698,5404.2998,0
2023-02-16,5451.4502,5451.4502,5398.1802,5451.4502,0
2023-02-17,5328.9600,5451.4502,5325.8101,5328.9600,0
2023-02-20,5330.7598,5356.5601,5326.2598,5330.7598,0
